customer_id,first_name,last_name,email,phone,active,address,city,country
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,28303384290,1,1913 Hanoi Way,Sasebo,Japan
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,8.39E+11,1,1121 Loja Avenue,San Bernardino,United States
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,4.48E+11,1,692 Joliet Street,Athenai,Greece
4,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,7.06E+11,1,1566 Inegl Manor,Myingyan,Myanmar
5,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,10655648674,1,53 Idfu Parkway,Nantou,Taiwan
6,JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org,8.60E+11,1,1795 Santiago de Compostela Way,Laredo,United States
7,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,7.17E+11,1,900 Santiago de Compostela Parkway,Kragujevac,Yugoslavia
8,SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,6.57E+11,1,478 Joliet Way,Hamilton,New Zealand
9,MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,3.81E+11,1,613 Korolev Drive,Masqat,Oman
10,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,6.49E+11,1,1531 Sal Drive,Esfahan,Iran
11,LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,6.35E+11,1,1542 Tarlac Parkway,Sagamihara,Japan
12,NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,4.66E+11,1,808 Bhopal Manor,Yamuna Nagar,India
13,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,6.95E+11,1,270 Amroha Parkway,Osmaniye,Turkey
14,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,5.17E+11,1,770 Bydgoszcz Avenue,Citrus Heights,United States
15,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,9.91E+11,1,419 Iligan Lane,Bhopal,India
16,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,9.49E+11,0,360 Toulouse Parkway,Southend-on-Sea,United Kingdom
17,DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org,4.08E+11,1,270 Toulon Boulevard,Elista,Russian Federation
18,CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org,7.48E+11,1,320 Brest Avenue,Kaduna,Nigeria
19,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,2.73E+11,1,1417 Lancaster Avenue,Kimberley,South Africa
20,SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org,1.44E+11,1,1688 Okara Way,Mardan,Pakistan
21,MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,8.93E+11,1,262 A Corua (La Corua) Parkway,Tangail,Bangladesh
22,LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,1.62E+11,1,28 Charlotte Amalie Street,Sal,Morocco
23,SARAH,LEWIS,SARAH.LEWIS@sakilacustomer.org,9.03E+11,1,1780 Hino Boulevard,Liepaja,Latvia
24,KIMBERLY,LEE,KIMBERLY.LEE@sakilacustomer.org,9.35E+11,1,96 Tafuna Way,Crdoba,Argentina
25,DEBORAH,WALKER,DEBORAH.WALKER@sakilacustomer.org,1.96E+11,1,934 San Felipe de Puerto Plata Street,Shikarpur,Pakistan
26,JESSICA,HALL,JESSICA.HALL@sakilacustomer.org,9.98E+11,1,18 Duisburg Boulevard,Citt del Vaticano,Holy See (Vatican City State)
27,SHIRLEY,ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,6.65E+11,1,217 Botshabelo Place,Davao,Philippines
28,CYNTHIA,YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,6.78E+11,1,1425 Shikarpur Manor,Munger (Monghyr),India
29,ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,18461860151,1,786 Aurora Avenue,Shimonoseki,Japan
30,MELISSA,KING,MELISSA.KING@sakilacustomer.org,5.25E+11,1,1668 Anpolis Street,Lungtan,Taiwan
31,BRENDA,WRIGHT,BRENDA.WRIGHT@sakilacustomer.org,7.46E+11,1,33 Gorontalo Way,Kamarhati,India
32,AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org,6.28E+11,1,176 Mandaluyong Place,Jhansi,India
33,ANNA,HILL,ANNA.HILL@sakilacustomer.org,9.12E+11,1,127 Purnea (Purnia) Manor,Alessandria,Italy
34,REBECCA,SCOTT,REBECCA.SCOTT@sakilacustomer.org,7.08E+11,1,61 Tama Street,Kurashiki,Japan
35,VIRGINIA,GREEN,VIRGINIA.GREEN@sakilacustomer.org,4.41E+11,1,391 Callao Drive,Toulouse,France
36,KATHLEEN,ADAMS,KATHLEEN.ADAMS@sakilacustomer.org,4.81E+11,1,334 Munger (Monghyr) Lane,Arak,Iran
37,PAMELA,BAKER,PAMELA.BAKER@sakilacustomer.org,9.12E+11,1,1440 Fukuyama Loop,Nanyang,China
38,MARTHA,GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org,4.90E+11,1,269 Cam Ranh Parkway,Chisinau,Moldova
39,DEBRA,NELSON,DEBRA.NELSON@sakilacustomer.org,3.78E+11,1,306 Antofagasta Place,Vila Velha,Brazil
40,AMANDA,CARTER,AMANDA.CARTER@sakilacustomer.org,6.81E+11,1,671 Graz Street,Nador,Morocco
41,STEPHANIE,MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org,42384721397,1,42 Brindisi Place,Yerevan,Armenia
42,CAROLYN,PEREZ,CAROLYN.PEREZ@sakilacustomer.org,4.72E+11,1,1632 Bislig Avenue,Pak Kret,Thailand
43,CHRISTINE,ROBERTS,CHRISTINE.ROBERTS@sakilacustomer.org,5.40E+11,1,1447 Imus Way,Faaa,French Polynesia
44,MARIE,TURNER,MARIE.TURNER@sakilacustomer.org,1.78E+11,1,1998 Halifax Drive,Lipetsk,Russian Federation
45,JANET,PHILLIPS,JANET.PHILLIPS@sakilacustomer.org,6.75E+11,1,1718 Valencia Street,Antofagasta,Chile
46,CATHERINE,CAMPBELL,CATHERINE.CAMPBELL@sakilacustomer.org,2.62E+11,1,46 Pjatigorsk Lane,Moscow,Russian Federation
47,FRANCES,PARKER,FRANCES.PARKER@sakilacustomer.org,69493378813,1,686 Garland Manor,Juazeiro do Norte,Brazil
48,ANN,EVANS,ANN.EVANS@sakilacustomer.org,7.06E+11,1,909 Garland Manor,Niznekamsk,Russian Federation
49,JOYCE,EDWARDS,JOYCE.EDWARDS@sakilacustomer.org,8.76E+11,1,725 Isesaki Place,Jedda,Saudi Arabia
50,DIANE,COLLINS,DIANE.COLLINS@sakilacustomer.org,3.08E+11,1,115 Hidalgo Parkway,Omdurman,Sudan
51,ALICE,STEWART,ALICE.STEWART@sakilacustomer.org,1.72E+11,1,1135 Izumisano Parkway,Fontana,United States
52,JULIE,SANCHEZ,JULIE.SANCHEZ@sakilacustomer.org,6.80E+11,1,939 Probolinggo Loop,A Corua (La Corua),Spain
53,HEATHER,MORRIS,HEATHER.MORRIS@sakilacustomer.org,6.98E+11,1,17 Kabul Boulevard,Nagareyama,Japan
54,TERESA,ROGERS,TERESA.ROGERS@sakilacustomer.org,9.21E+11,1,1964 Allappuzha (Alleppey) Street,Iwakuni,Japan
55,DORIS,REED,DORIS.REED@sakilacustomer.org,4.99E+11,1,1697 Kowloon and New Kowloon Loop,Balaiha,Russian Federation
56,GLORIA,COOK,GLORIA.COOK@sakilacustomer.org,3.47E+11,1,1668 Saint Louis Place,Papeete,French Polynesia
57,EVELYN,MORGAN,EVELYN.MORGAN@sakilacustomer.org,8.89E+11,1,943 Tokat Street,Vaduz,Liechtenstein
58,JEAN,BELL,JEAN.BELL@sakilacustomer.org,2.13E+11,1,1114 Liepaja Street,Kuching,Malaysia
59,CHERYL,MURPHY,CHERYL.MURPHY@sakilacustomer.org,8.00E+11,1,1213 Ranchi Parkway,Mysore,India
60,MILDRED,BAILEY,MILDRED.BAILEY@sakilacustomer.org,2.51E+11,1,81 Hodeida Way,Jaipur,India
61,KATHERINE,RIVERA,KATHERINE.RIVERA@sakilacustomer.org,1395251317,1,915 Ponce Place,Basel,Switzerland
62,JOAN,COOPER,JOAN.COOPER@sakilacustomer.org,9.14E+11,1,1717 Guadalajara Lane,Saint Louis,United States
63,ASHLEY,RICHARDSON,ASHLEY.RICHARDSON@sakilacustomer.org,4.91E+11,1,1214 Hanoi Way,Lincoln,United States
64,JUDITH,COX,JUDITH.COX@sakilacustomer.org,3.33E+11,0,1966 Amroha Avenue,Daxian,China
65,ROSE,HOWARD,ROSE.HOWARD@sakilacustomer.org,4.10E+11,1,698 Otsu Street,Cayenne,French Guiana
66,JANICE,WARD,JANICE.WARD@sakilacustomer.org,6.63E+11,1,1150 Kimchon Manor,Malm,Sweden
67,KELLY,TORRES,KELLY.TORRES@sakilacustomer.org,9.47E+11,1,1586 Guaruj Place,Xiangtan,China
68,NICOLE,PETERSON,NICOLE.PETERSON@sakilacustomer.org,9.90E+11,1,57 Arlington Manor,Shivapuri,India
69,JUDY,GRAY,JUDY.GRAY@sakilacustomer.org,1.07E+11,1,1031 Daugavpils Parkway,Bchar,Algeria
70,CHRISTINA,RAMIREZ,CHRISTINA.RAMIREZ@sakilacustomer.org,4.08E+11,1,1124 Buenaventura Drive,al-Hawiya,Saudi Arabia
71,KATHY,JAMES,KATHY.JAMES@sakilacustomer.org,5.65E+11,1,492 Cam Ranh Street,Baybay,Philippines
72,THERESA,WATSON,THERESA.WATSON@sakilacustomer.org,2.56E+11,1,89 Allappuzha (Alleppey) Manor,Taguig,Philippines
73,BEVERLY,BROOKS,BEVERLY.BROOKS@sakilacustomer.org,4.27E+11,1,1947 Poos de Caldas Boulevard,Chiayi,Taiwan
74,DENISE,KELLY,DENISE.KELLY@sakilacustomer.org,2.42E+11,1,1206 Dos Quebradas Place,Rio Claro,Brazil
75,TAMMY,SANDERS,TAMMY.SANDERS@sakilacustomer.org,2.51E+11,1,1551 Rampur Lane,Changhwa,Taiwan
